X	Y	Freq
1355	3355	478
710	2710	477
415	2415	513
492	2492	510
1208	3208	503
1239	3239	483
618	2618	520
803	2803	453
1732	3732	558
504	2504	538
1292	3292	529
1219	3219	493
388	2388	478
691	2691	497
174	2174	498
729	2729	513
465	2465	488
462	2462	516
1750	3750	468
350	2350	490
1965	3965	492
133	2133	528
769	2769	527
1215	3215	504
786	2786	515
1960	3960	503
381	2381	492
1810	3810	505
108	2108	542
1794	3794	495
1622	3622	493
366	2366	548
920	2920	532
1386	3386	489
596	2596	516
1883	3883	508
166	2166	535
700	2700	474
948	2948	493
604	2604	493
823	2823	527
192	2192	543
445	2445	516
644	2644	538
1379	3379	516
856	2856	504
1118	3118	485
623	2623	493
1812	3812	516
1997	3997	501
332	2332	494
37	2037	473
555	2555	507
1149	3149	489
1828	3828	499
233	2233	484
740	2740	521
104	2104	490
1016	3016	519
841	2841	490
1352	3352	536
178	2178	492
537	2537	469
498	2498	523
1727	3727	524
1975	3975	518
1409	3409	518
1328	3328	509
1739	3739	518
409	2409	509
1516	3516	464
1560	3560	498
275	2275	484
1213	3213	500
1506	3506	536
288	2288	550
888	2888	500
314	2314	500
495	2495	487
1508	3508	479
241	2241	495
1349	3349	507
1973	3973	531
1420	3420	463
1317	3317	524
1211	3211	498
69	2069	457
1177	3177	491
1485	3485	508
74	2074	511
1971	3971	481
459	2459	520
636	2636	501
497	2497	477
42	2042	475
464	2464	504
443	2443	465
1067	3067	487
914	2914	528
487	2487	508
1643	3643	511
176	2176	491
1596	3596	473
142	2142	549
1763	3763	486
1670	3670	524
1871	3871	496
1604	3604	449
1216	3216	491
1845	3845	508
563	2563	520
483	2483	511
1524	3524	500
282	2282	481
1278	3278	522
1924	3924	504
1132	3132	485
1947	3947	524
435	2435	496
1010	3010	490
1974	3974	521
1585	3585	514
959	2959	471
1759	3759	487
362	2362	549
327	2327	538
1080	3080	520
976	2976	468
1453	3453	517
1929	3929	477
1350	3350	480
49	2049	511
1900	3900	488
1934	3934	507
1879	3879	496
655	2655	451
933	2933	493
